id,name,url
3077,Maximum Strength of K Disjoint Subarrays,https://leetcode.com/problems/maximum-strength-of-k-disjoint-subarrays/description/
3078,Match Alphanumerical Pattern in Matrix I,https://leetcode.com/problems/match-alphanumerical-pattern-in-matrix-i/description/
3079,Find the Sum of Encrypted Integers,https://leetcode.com/problems/find-the-sum-of-encrypted-integers/description/
3080,Mark Elements on Array by Performing Queries,https://leetcode.com/problems/mark-elements-on-array-by-performing-queries/description/
3081,Replace Question Marks in String to Minimize Its Value,https://leetcode.com/problems/replace-question-marks-in-string-to-minimize-its-value/description/
3082,Find the Sum of the Power of All Subsequences,https://leetcode.com/problems/find-the-sum-of-the-power-of-all-subsequences/description/
3083,Existence of a Substring in a String and Its Reverse,https://leetcode.com/problems/existence-of-a-substring-in-a-string-and-its-reverse/description/
3084,Count Substrings Starting and Ending with Given Character,https://leetcode.com/problems/count-substrings-starting-and-ending-with-given-character/description/
3085,Minimum Deletions to Make String K-Special,https://leetcode.com/problems/minimum-deletions-to-make-string-k-special/description/
3086,Minimum Moves to Pick K Ones,https://leetcode.com/problems/minimum-moves-to-pick-k-ones/description/
3087,Find Trending Hashtags,https://leetcode.com/problems/find-trending-hashtags/description/
3088,Make String Anti-palindrome,https://leetcode.com/problems/make-string-anti-palindrome/description/
3089,Find Bursty Behavior,https://leetcode.com/problems/find-bursty-behavior/description/
3090,Maximum Length Substring With Two Occurrences,https://leetcode.com/problems/maximum-length-substring-with-two-occurrences/description/
3091,Apply Operations to Make Sum of Array Greater Than or Equal to k,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k/description/
3092,Most Frequent IDs,https://leetcode.com/problems/most-frequent-ids/description/
3093,Longest Common Suffix Queries,https://leetcode.com/problems/longest-common-suffix-queries/description/
3094,Guess the Number Using Bitwise Questions II,https://leetcode.com/problems/guess-the-number-using-bitwise-questions-ii/description/
3095,Shortest Subarray With OR at Least K I,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-i/description/
3096,Minimum Levels to Gain More Points,https://leetcode.com/problems/minimum-levels-to-gain-more-points/description/
3097,Shortest Subarray With OR at Least K II,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-ii/description/
3098,Find the Sum of Subsequence Powers,https://leetcode.com/problems/find-the-sum-of-subsequence-powers/description/
3099,Harshad Number,https://leetcode.com/problems/harshad-number/description/
3100,Water Bottles II,https://leetcode.com/problems/water-bottles-ii/description/
3101,Count Alternating Subarrays,https://leetcode.com/problems/count-alternating-subarrays/description/
3102,Minimize Manhattan Distances,https://leetcode.com/problems/minimize-manhattan-distances/description/
3103,Find Trending Hashtags II ,https://leetcode.com/problems/find-trending-hashtags-ii/description/
3104,Find Longest Self-Contained Substring,https://leetcode.com/problems/find-longest-self-contained-substring/description/
3105,Longest Strictly Increasing or Strictly Decreasing Subarray,https://leetcode.com/problems/longest-strictly-increasing-or-strictly-decreasing-subarray/description/
3106,Lexicographically Smallest String After Operations With Constraint,https://leetcode.com/problems/lexicographically-smallest-string-after-operations-with-constraint/description/
3107,Minimum Operations to Make Median of Array Equal to K,https://leetcode.com/problems/minimum-operations-to-make-median-of-array-equal-to-k/description/
3108,Minimum Cost Walk in Weighted Graph,https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph/description/
3109,Find the Index of Permutation,https://leetcode.com/problems/find-the-index-of-permutation/description/
3110,Score of a String,https://leetcode.com/problems/score-of-a-string/description/
3111,Minimum Rectangles to Cover Points,https://leetcode.com/problems/minimum-rectangles-to-cover-points/description/
3112,Minimum Time to Visit Disappearing Nodes,https://leetcode.com/problems/minimum-time-to-visit-disappearing-nodes/description/
